Tue Aug  4 12:42:14 2015    prof

         1085016 function calls (1085005 primitive calls) in 12.736 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:372(Misc)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1255(configure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1755(_loadtk)
      116    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 Tkinter.py:1165(_root)
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
       22    0.000    0.000    0.000    0.000 {built-in method getboolean}
        2    0.000    0.000    0.000    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        2    0.000    0.000    0.000    0.000 Tkinter.py:1635(wm_iconname)
        2    0.000    0.000    0.000    0.000 Tkinter.py:997(bind)
        4    0.000    0.000    0.000    0.000 Tkinter.py:1705(wm_title)
        2    0.000    0.000    0.000    0.000 Tkinter.py:980(_bind)
       14    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
       18    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
        4    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2164(Canvas)
       11    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    77/75    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        5    0.000    0.000    0.000    0.000 Tkinter.py:3265(__del__)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2633(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2539(Listbox)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2864(Text)
